id, title, rating, ratingcount, watchedcount, wishcount,url, genre
1304447,"记忆碎片",8.5,145748,192006,52088,"null","犯罪,剧情,悬疑"
1302827,"人工智能",8.5,100828,134205,27406,"null","冒险,剧情,科幻"
1300299,"杀人回忆",8.6,64235,80517,23854,"null","犯罪,剧情,悬疑"
1291870,"雨人",8.5,117867,166058,45694,"null","剧情,,"
1301617,"不一样的天空",8.6,39007,51305,35759,"null","剧情,爱情,家庭"
3731581,"里约大冒险",8.5,150319,185675,33730,"null","喜剧,动画,音乐"
1292328,"东邪西毒",8.5,145332,213727,23713,"null","剧情,动作,爱情"
2043546,"秒速五厘米",8.5,136929,177615,32318,"null","动画,剧情,爱情"
1394488,"小情人",8.6,36705,47811,37263,"null","喜剧,,"
1292211,"对她说",8.6,36695,52025,36277,"null","剧情,,"
1292056,"蝴蝶",8.5,61666,87914,30837,"null","剧情,喜剧,家庭"
1302476,"麦兜故事",8.5,80829,116292,10678,"null","动画,剧情,喜剧"
1308857,"可可西里",8.5,74453,185252,18771,"null","动作,剧情,"
1756073,"我们俩",8.5,46896,65778,18413,"null","剧情,,"
1291992,"末路狂花",8.5,47993,67118,30827,"null","犯罪,剧情,惊悚"
1301106,"布达佩斯之恋",8.6,40295,54608,44764,"null","爱情,剧情,"
1292217,"穆赫兰道",8.4,120151,163185,60726,"null","剧情,悬疑,惊悚"
1294638,"E.T. 外星人",8.5,86667,127302,14916,"null","剧情,科幻,奇幻"
1292214,"非常嫌疑犯",8.5,57234,72942,29651,"null","犯罪,悬疑,惊悚"
1293172,"末代皇帝",8.5,62745,88762,21850,"null","剧情,传记,历史"
1300616,"买凶拍人",8.5,57552,73401,17768,"null","犯罪,动作,喜剧"
2209573,"贫民窟的百万富翁",8.4,253671,341217,24078,"null","剧情,爱情,"
1309027,"罪恶之城",8.5,87365,115791,22785,"null","动作,犯罪,惊悚"
1978709,"黑天鹅",8.4,243928,318437,50785,"null","剧情,惊悚,"
1309163,"恋恋笔记本",8.4,141951,193055,46083,"null","剧情,爱情,"
2213597,"朗读者",8.4,180173,242674,46456,"null","剧情,爱情,"
1301171,"偷拐抢骗",8.5,57758,74892,24660,"null","犯罪,惊悚,"
1297192,"致命ID",8.4,150013,192019,32911,"null","剧情,悬疑,惊悚"
1304056,"茜茜公主",8.5,52269,77262,12861,"null","喜剧,剧情,历史"
1292348,"洛城机密",8.5,41290,52347,16094,"null","犯罪,剧情,悬疑"
1292274,"幸福终点站",8.4,132252,181250,29415,"null","喜剧,剧情,爱情"
1292728,"勇闯夺命岛",8.4,83505,114338,9837,"null","剧情,动作,战争"
1308817,"两小无猜",8.4,190080,261082,60937,"null","喜剧,剧情,爱情"
1298070,"加勒比海盗",8.4,183533,258446,5873,"null","动作,冒险,奇幻"
1308777,"暖暖内含光",8.4,81457,104465,47903,"null","剧情,爱情,科幻"
1292233,"发条橙",8.4,102481,145630,58916,"null","犯罪,剧情,科幻"
1292226,"2001太空漫游",8.5,35505,49018,24564,"null","冒险,悬疑,科幻"
3993559,"赛德克·巴莱",8.5,54076,67363,33653,"null","剧情,历史,战争"
1291844,"终结者2",8.4,73833,105276,4247,"null","动作,科幻,惊悚"
1293145,"费城故事",8.5,37535,51651,23076,"null","剧情,同性,"
1419936,"战争之王",8.4,96474,131122,15955,"null","犯罪,剧情,惊悚"
1293527,"美国X档案",8.5,37196,47563,18613,"null","犯罪,剧情,"
6307447,"被解救的姜戈",8.5,45143,53341,54611,"null","剧情,动作,西部"
1305690,"阿飞正传",8.4,83096,123141,22155,"null","犯罪,剧情,爱情"
1292048,"蓝白红三部曲之蓝",8.5,42717,65998,31444,"null","剧情,音乐,悬疑"
2300586,"这个男人来自地球",8.4,76178,94803,32682,"null","剧情,科幻,"
1291579,"怪兽电力公司",8.4,103339,137814,10236,"null","喜剧,动画,儿童"
4920528,"那些年，我们一起追的女孩",8.3,305855,394664,48228,"null","剧情,喜剧,爱情"
3287562,"卑鄙的我",8.4,140520,176151,37937,"null","喜剧,动画,儿童"
2334904,"禁闭岛",8.4,180898,228873,35145,"null","剧情,悬疑,惊悚"
1293708,"她比烟花寂寞",8.4,70946,99807,55151,"null","传记,剧情,音乐"
1369747,"帝企鹅日记",8.5,49512,73715,14648,"null","纪录片,家庭,"
3395373,"蝙蝠侠：黑暗骑士崛起",8.4,166214,198609,30897,"null","剧情,动作,悬疑"
1305487,"猫鼠游戏",8.4,91798,118101,23570,"null","传记,犯罪,剧情"
2053515,"曾经",8.4,120566,166926,59308,"null","剧情,音乐,爱情"
1292222,"出租车司机",8.4,52263,73285,31176,"null","剧情,惊悚,"
1291853,"英国病人",8.4,108155,154051,69290,"null","爱情,剧情,战争"
1297447,"倩女幽魂",8.4,120380,175983,7780,"null","动作,爱情,奇幻"
3077668,"天水围的日与夜",8.4,48565,62154,26956,"null","剧情,,"
3073124,"月球",8.4,71915,85308,32002,"null","剧情,悬疑,科幻"
1760622,"香水",8.3,152435,206203,43220,"null","剧情,奇幻,"
6019180,"开心家族",8.4,70096,86313,16388,"null","剧情,喜剧,家庭"
6097775,"艺术家",8.4,52540,64437,57697,"null","剧情,喜剧,爱情"
2365260,"爱在暹罗",8.3,146066,196697,27043,"null","剧情,爱情,同性"
1300741,"枪火",8.4,40989,55267,9140,"null","犯罪,剧情,悬疑"
1867345,"遗愿清单",8.4,57716,74657,27553,"null","冒险,喜剧,剧情"
1292062,"美国丽人",8.3,103878,143700,32650,"null","剧情,,"
1308767,"谍影重重2",8.3,80923,109042,6086,"null","动作,冒险,悬疑"
1292287,"新龙门客栈",8.3,101253,148435,7207,"null","剧情,武侠,"
1305666,"时时刻刻",8.4,45848,62725,34662,"null","剧情,传记,"
1293929,"廊桥遗梦",8.4,53110,79036,34978,"null","剧情,爱情,"
3075287,"源代码",8.3,229704,286023,40302,"null","剧情,动作,科幻"
5977835,"桃姐",8.3,117881,148760,38266,"null","剧情,,"
6549903,"逃离德黑兰",8.3,73445,85598,46488,"null","剧情,惊悚,历史"
1304102,"谍影重重",8.3,97851,132039,9777,"null","动作,冒险,悬疑"
1291578,"冰川时代",8.3,154280,220060,6164,"null","喜剧,动画,冒险"
1308575,"蓝色大门",8.3,178265,250781,32153,"null","剧情,爱情,同性"
1291554,"歌剧魅影",8.3,78812,108817,24828,"null","剧情,歌舞,爱情"
1291588,"岁月的童话",8.4,39198,53353,18321,"null","剧情,爱情,动画"
4286017,"速度与激情5",8.3,123151,155768,24807,"null","动作,犯罪,剧情"
1292659,"变脸",8.3,124610,174977,13418,"null","动作,犯罪,剧情"
1307394,"千年女优",8.4,39275,51010,21698,"null","动画,剧情,爱情"
1438652,"无耻混蛋",8.3,116853,145068,37951,"null","剧情,战争,冒险"
1299327,"夜访吸血鬼",8.3,122474,165136,22203,"null","剧情,奇幻,"
3178770,"马达加斯加3",8.3,76725,93067,20016,"null","喜剧,动画,冒险"
1291840,"走出非洲",8.4,36856,53801,31988,"null","冒险,传记,剧情"
1418834,"断背山",8.2,171532,243283,29626,"null","剧情,爱情,同性"
1301948,"梦旅人",8.3,46978,68818,31849,"null","剧情,奇幻,"
4023638,"国王的演讲",8.2,191806,249044,51930,"null","剧情,历史,"
1293315,"阿郎的故事",8.4,36746,54979,7433,"null","剧情,,"
1291824,"黑鹰坠落",8.3,58389,78283,10462,"null","动作,剧情,历史"
1308865,"老男孩",8.3,60343,80942,19457,"null","剧情,悬疑,惊悚"
1291562,"黑暗中的舞者",8.3,51888,75501,40431,"null","剧情,歌舞,"
1851906,"辛普森一家",8.3,48371,68822,17091,"null","动画,冒险,喜剧"
1316572,"导盲犬小Q",8.2,75484,105827,13659,"null","剧情,,"
1293530,"角斗士",8.2,78386,109304,11119,"null","动作,冒险,剧情"
1418200,"傲慢与偏见",8.2,160140,226328,25770,"null","剧情,爱情,"
1298653,"荒岛余生",8.3,66122,91305,17293,"null","冒险,剧情,"
1428175,"血钻",8.3,62911,123371,14624,"null","冒险,剧情,惊悚"
4739952,"初恋这件小事",8.2,252639,339376,26403,"null","喜剧,爱情,"
1291877,"两生花",8.3,41684,62200,43406,"null","剧情,奇幻,音乐"
1759386,"了不起的狐狸爸爸",8.3,61760,75106,24572,"null","动画,冒险,喜剧"
4876722,"钢的琴",8.2,102887,129910,44816,"null","剧情,喜剧,"
